scenario,region,district,festivalType,venueType,durationDays,planningYear,requestedPolicy,appliedPolicy,referenceYearFrom,referenceYearTo,earliestSourceYear,latestSourceYear,sampleCount,distinctYearsUsed,effectiveYearCount,fallbackLevel,estimatedBudget,weightedAverage,recommendedBudget,p25,p50,p75,averageSimilarity,dataQualityV3,yearWeightBreakdown
B,SEOUL,,CULTURE_ART,GREEN,10,2026,INCLUDE_PUBLISHED_SAME_YEAR,HISTORICAL_ONLY,2017,2025,2017,2025,50,6,1.9012589997544833,SAME_REGION_TYPE,165276078,342496030,257303805,50000000,180579648,490448636,0.9277176658157297,75.81393281748872,2017:4:0.08109091349825485|2018:36:0.7129772667580152|2019:2:0.040857326281095556|2020:3:0.06128598942164334|2021:2:0.040857326281095556|2025:3:0.06293117775989544
C,SEOUL,,CULTURE_ART,GREEN,10,2026,INCLUDE_PUBLISHED_SAME_YEAR,INCLUDE_PUBLISHED_SAME_YEAR,2017,2026,2017,2026,50,7,2.364158826231632,SAME_REGION_TYPE,188924148,409794013,297607791,50532046,186392273,551521413,0.9294904338612809,76.1552699950519,2017:4:0.08078777454519169|2018:32:0.6313884196045179|2019:2:0.040704590955033676|2020:3:0.06105688643255052|2021:2:0.040704590955033676|2025:3:0.06269592462833987|2026:4:0.08266181287933269
D,SEOUL,,CULTURE_ART,GREEN,10,2027,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2026,2017,2026,50,7,2.364158826231632,SAME_REGION_TYPE,188924148,409794013,297607791,50532046,186392273,551521413,0.9294904338612809,76.1552699950519,2017:4:0.08078777454519169|2018:32:0.6313884196045179|2019:2:0.040704590955033676|2020:3:0.06105688643255052|2021:2:0.040704590955033676|2025:3:0.06269592462833987|2026:4:0.08266181287933269
A,SEOUL,,NATURE_ECOLOGY,GREEN,180,2026,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2025,2017,2025,50,9,5.922745576086009,GLOBAL_SIMILARITY,143791625,254452280,242032215,70000000,139072176,338169031,0.855879290004941,72.0233741009858,2017:2:0.032738491389268196|2018:5:0.1204606669069628|2019:3:0.06448671444263168|2020:1:0.016302447679846555|2021:5:0.10537317041539514|2022:3:0.07227640014417769|2023:5:0.1204606669069628|2024:7:0.16864493366974792|2025:19:0.29925650844500706
B,SEOUL,,NATURE_ECOLOGY,GREEN,180,2026,INCLUDE_PUBLISHED_SAME_YEAR,HISTORICAL_ONLY,2017,2025,2017,2025,50,9,5.922745576086009,GLOBAL_SIMILARITY,143791625,254452280,242032215,70000000,139072176,338169031,0.855879290004941,72.0233741009858,2017:2:0.032738491389268196|2018:5:0.1204606669069628|2019:3:0.06448671444263168|2020:1:0.016302447679846555|2021:5:0.10537317041539514|2022:3:0.07227640014417769|2023:5:0.1204606669069628|2024:7:0.16864493366974792|2025:19:0.29925650844500706
C,SEOUL,,NATURE_ECOLOGY,GREEN,180,2026,INCLUDE_PUBLISHED_SAME_YEAR,INCLUDE_PUBLISHED_SAME_YEAR,2017,2026,2018,2026,50,8,6.386825961408577,SAME_REGION_TYPE,120715086,253446079,158652129,54380330,103100392,260000000,0.8702629979296773,71.09650419064849,2018:5:0.11470796916344854|2019:2:0.04588318766537942|2021:3:0.06882478149806913|2022:3:0.06882478149806913|2023:5:0.11470796916344854|2024:7:0.16059115682882794|2025:11:0.1819743605133828|2026:14:0.24448579366937437
D,SEOUL,,NATURE_ECOLOGY,GREEN,180,2027,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2026,2018,2026,50,8,6.386825961408577,SAME_REGION_TYPE,120715086,253446079,158652129,54380330,103100392,260000000,0.8702629979296773,71.09650419064849,2018:5:0.11470796916344854|2019:2:0.04588318766537942|2021:3:0.06882478149806913|2022:3:0.06882478149806913|2023:5:0.11470796916344854|2024:7:0.16059115682882794|2025:11:0.1819743605133828|2026:14:0.24448579366937437
A,SEOUL,,CULTURE_ART,GREEN,13,2026,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2025,2017,2025,50,4,1.3327766655032074,SAME_REGION_TYPE,144011669,301235490,227355171,45004018,159987472,449000177,0.923106630228816,73.327744690106,2017:1:0.019998714474265468|2018:43:0.8599447223934156|2019:5:0.1000382372697005|2025:1:0.020018325862618376
B,SEOUL,,CULTURE_ART,GREEN,13,2026,INCLUDE_PUBLISHED_SAME_YEAR,HISTORICAL_ONLY,2017,2025,2017,2025,50,4,1.3327766655032074,SAME_REGION_TYPE,144011669,301235490,227355171,45004018,159987472,449000177,0.923106630228816,73.327744690106,2017:1:0.019998714474265468|2018:43:0.8599447223934156|2019:5:0.1000382372697005|2025:1:0.020018325862618376
C,SEOUL,,CULTURE_ART,GREEN,13,2026,INCLUDE_PUBLISHED_SAME_YEAR,INCLUDE_PUBLISHED_SAME_YEAR,2017,2026,2017,2026,50,5,1.4023938372991869,SAME_REGION_TYPE,170418727,394040103,255188143,50000000,185737275,495262620,0.9245201491197138,74.21792856400671,2017:1:0.019939415360373882|2018:42:0.8374554451357036|2019:1:0.019983947820789657|2025:1:0.01995896859809151|2026:5:0.10266222308504139
