scenario,region,district,festivalType,venueType,durationDays,planningYear,requestedPolicy,appliedPolicy,referenceYearFrom,referenceYearTo,earliestSourceYear,latestSourceYear,sampleCount,distinctYearsUsed,effectiveYearCount,fallbackLevel,estimatedBudget,weightedAverage,recommendedBudget,p25,p50,p75,averageSimilarity,dataQualityV3,yearWeightBreakdown
A,SEOUL,,CULTURE_ART,VILLAGE,2,2026,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2025,2017,2025,50,6,5.587405293042295,SAME_REGION_TYPE,136441530,237368026,214697758,45000000,128219821,400000000,0.9372254390176351,82.819526516407,2017:10:0.199523981223776|2018:7:0.13826134146766633|2019:9:0.18012153999273717|2020:9:0.18012153999273717|2021:11:0.2201485488800121|2025:4:0.08182304844307128
B,SEOUL,,CULTURE_ART,VILLAGE,2,2026,INCLUDE_PUBLISHED_SAME_YEAR,HISTORICAL_ONLY,2017,2025,2017,2025,50,6,5.587405293042295,SAME_REGION_TYPE,136441530,237368026,214697758,45000000,128219821,400000000,0.9372254390176351,82.819526516407,2017:10:0.199523981223776|2018:7:0.13826134146766633|2019:9:0.18012153999273717|2020:9:0.18012153999273717|2021:11:0.2201485488800121|2025:4:0.08182304844307128
C,SEOUL,,CULTURE_ART,VILLAGE,2,2026,INCLUDE_PUBLISHED_SAME_YEAR,INCLUDE_PUBLISHED_SAME_YEAR,2017,2026,2017,2026,50,7,6.456427335292178,SAME_REGION_TYPE,119751911,190407137,200858705,42087702,128648965,279625152,0.9392219526930113,83.71331833805729,2017:9:0.17934941602683974|2018:4:0.07971085156748435|2019:9:0.17934941602683974|2020:9:0.17934941602683974|2021:8:0.15942170313496867|2025:4:0.0814722989620918|2026:7:0.1413468982549361
D,SEOUL,,CULTURE_ART,VILLAGE,2,2027,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2026,2017,2026,50,7,6.456427335292178,SAME_REGION_TYPE,119751911,190407137,200858705,42087702,128648965,279625152,0.9392219526930113,83.71331833805729,2017:9:0.17934941602683974|2018:4:0.07971085156748435|2019:9:0.17934941602683974|2020:9:0.17934941602683974|2021:8:0.15942170313496867|2025:4:0.0814722989620918|2026:7:0.1413468982549361
A,SEOUL,,NATURE_ECOLOGY,GREEN,7,2026,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2025,2017,2025,50,9,5.845367441778211,GLOBAL_SIMILARITY,133939761,231573806,236255829,65084285,132130815,260000000,0.8850891849830196,74.40128784742213,2017:2:0.04127914450766256|2018:5:0.1102151840440587|2019:3:0.06582402016967746|2020:2:0.04447520986192449|2021:4:0.08645359306772114|2022:3:0.06612911042643523|2023:5:0.1102151840440587|2024:7:0.15430125766168218|2025:19:0.32110729621677997
B,SEOUL,,NATURE_ECOLOGY,GREEN,7,2026,INCLUDE_PUBLISHED_SAME_YEAR,HISTORICAL_ONLY,2017,2025,2017,2025,50,9,5.845367441778211,GLOBAL_SIMILARITY,133939761,231573806,236255829,65084285,132130815,260000000,0.8850891849830196,74.40128784742213,2017:2:0.04127914450766256|2018:5:0.1102151840440587|2019:3:0.06582402016967746|2020:2:0.04447520986192449|2021:4:0.08645359306772114|2022:3:0.06612911042643523|2023:5:0.1102151840440587|2024:7:0.15430125766168218|2025:19:0.32110729621677997
C,SEOUL,,NATURE_ECOLOGY,GREEN,7,2026,INCLUDE_PUBLISHED_SAME_YEAR,INCLUDE_PUBLISHED_SAME_YEAR,2017,2026,2017,2026,50,10,7.6190893805961935,SAME_REGION_TYPE,165039332,277608235,261723961,70000000,171828438,299609855,0.8916570621798895,76.26906483864235,2017:1:0.020604673254109456|2018:5:0.10837434979150273|2019:3:0.0647246152916632|2020:2:0.04373237673585796|2021:3:0.06502460987490165|2022:3:0.06502460987490165|2023:5:0.10837434979150273|2024:7:0.1517240897081038|2025:10:0.17190129282888306|2026:11:0.20051503284857405
D,SEOUL,,NATURE_ECOLOGY,GREEN,7,2027,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2026,2017,2026,50,10,7.6190893805961935,SAME_REGION_TYPE,165039332,277608235,261723961,70000000,171828438,299609855,0.8916570621798895,76.26906483864235,2017:1:0.020604673254109456|2018:5:0.10837434979150273|2019:3:0.0647246152916632|2020:2:0.04373237673585796|2021:3:0.06502460987490165|2022:3:0.06502460987490165|2023:5:0.10837434979150273|2024:7:0.1517240897081038|2025:10:0.17190129282888306|2026:11:0.20051503284857405
A,SEOUL,,CULTURE_ART,WATERFRONT,10,2026,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2025,2017,2025,50,6,1.896656057295421,SAME_REGION_TYPE,150110640,287772083,216133691,50000000,159710049,399830473,0.9270448979648167,76.05492403683364,2017:4:0.08120245354614818|2018:36:0.7139579625604217|2019:2:0.04091352527964654|2020:3:0.061370287919469815|2021:2:0.04091352527964654|2025:3:0.061642245414667125
B,SEOUL,,CULTURE_ART,WATERFRONT,10,2026,INCLUDE_PUBLISHED_SAME_YEAR,HISTORICAL_ONLY,2017,2025,2017,2025,50,6,1.896656057295421,SAME_REGION_TYPE,150110640,287772083,216133691,50000000,159710049,399830473,0.9270448979648167,76.05492403683364,2017:4:0.08120245354614818|2018:36:0.7139579625604217|2019:2:0.04091352527964654|2020:3:0.061370287919469815|2021:2:0.04091352527964654|2025:3:0.061642245414667125
C,SEOUL,,CULTURE_ART,WATERFRONT,10,2026,INCLUDE_PUBLISHED_SAME_YEAR,INCLUDE_PUBLISHED_SAME_YEAR,2017,2026,2017,2026,50,7,2.00566198487947,SAME_REGION_TYPE,162619369,328585114,227580023,50182684,175150945,451323450,0.9276051268106404,75.8780632396908,2017:4:0.08110725411415735|2018:35:0.69331202371985|2019:2:0.04086555943382206|2020:3:0.061298339150733086|2021:2:0.04086555943382206|2025:3:0.06156997781074823|2026:1:0.020981286336867213
D,SEOUL,,CULTURE_ART,WATERFRONT,10,2027,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2026,2017,2026,50,7,2.00566198487947,SAME_REGION_TYPE,162619369,328585114,227580023,50182684,175150945,451323450,0.9276051268106404,75.8780632396908,2017:4:0.08110725411415735|2018:35:0.69331202371985|2019:2:0.04086555943382206|2020:3:0.061298339150733086|2021:2:0.04086555943382206|2025:3:0.06156997781074823|2026:1:0.020981286336867213
A,SEOUL,,CULTURE_ART,GREEN,14,2026,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2025,2017,2025,50,4,1.3336705161956923,SAME_REGION_TYPE,140670739,300558447,227664207,41020199,160201990,449015149,0.9232661143392193,72.8498014250678,2017:1:0.01999192365388154|2018:43:0.8596527171169068|2019:5:0.0999596182694077|2025:1:0.02039574095980383
B,SEOUL,,CULTURE_ART,GREEN,14,2026,INCLUDE_PUBLISHED_SAME_YEAR,HISTORICAL_ONLY,2017,2025,2017,2025,50,4,1.3336705161956923,SAME_REGION_TYPE,140670739,300558447,227664207,41020199,160201990,449015149,0.9232661143392193,72.8498014250678,2017:1:0.01999192365388154|2018:43:0.8596527171169068|2019:5:0.0999596182694077|2025:1:0.02039574095980383
C,SEOUL,,CULTURE_ART,GREEN,14,2026,INCLUDE_PUBLISHED_SAME_YEAR,INCLUDE_PUBLISHED_SAME_YEAR,2017,2026,2017,2026,50,5,1.3468314333224927,SAME_REGION_TYPE,173749433,398520332,261211669,50000000,195880925,495475680,0.9247472141201849,73.83013649089159,2017:1:0.019929773455932408|2018:43:0.8569802586050941|2019:1:0.019929773455932408|2025:1:0.020332335388638347|2026:4:0.08282785909440271
D,SEOUL,,CULTURE_ART,GREEN,14,2027,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2026,2017,2026,50,5,1.3468314333224927,SAME_REGION_TYPE,173749433,398520332,261211669,50000000,195880925,495475680,0.9247472141201849,73.83013649089159,2017:1:0.019929773455932408|2018:43:0.8569802586050941|2019:1:0.019929773455932408|2025:1:0.020332335388638347|2026:4:0.08282785909440271
A,SEOUL,,CULTURE_ART,INDEPENDENT,2,2026,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2025,2017,2021,50,5,4.963836193882793,SAME_REGION_TYPE,154065032,279624105,294472588,49694675,135950414,438168047,0.9352517844113473,82.19668708655027,2017:10:0.20036818921310254|2018:11:0.21678448087223737|2019:9:0.1808836541114462|2020:9:0.1808836541114462|2021:11:0.22108002169176758
B,SEOUL,,CULTURE_ART,INDEPENDENT,2,2026,INCLUDE_PUBLISHED_SAME_YEAR,HISTORICAL_ONLY,2017,2025,2017,2021,50,5,4.963836193882793,SAME_REGION_TYPE,154065032,279624105,294472588,49694675,135950414,438168047,0.9352517844113473,82.19668708655027,2017:10:0.20036818921310254|2018:11:0.21678448087223737|2019:9:0.1808836541114462|2020:9:0.1808836541114462|2021:11:0.22108002169176758
C,SEOUL,,CULTURE_ART,INDEPENDENT,2,2026,INCLUDE_PUBLISHED_SAME_YEAR,INCLUDE_PUBLISHED_SAME_YEAR,2017,2026,2017,2026,50,6,5.349872008491513,SAME_REGION_TYPE,156101767,283275191,294476381,49838117,135950414,438741817,0.9363324737378664,82.63217444593025,2017:10:0.19990713408740074|2018:9:0.17740625037836327|2019:9:0.18046743367140888|2020:9:0.18046743367140888|2021:11:0.22057130782061088|2026:2:0.04118044037080722
D,SEOUL,,CULTURE_ART,INDEPENDENT,2,2027,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2026,2017,2026,50,6,5.349872008491513,SAME_REGION_TYPE,156101767,283275191,294476381,49838117,135950414,438741817,0.9363324737378664,82.63217444593025,2017:10:0.19990713408740074|2018:9:0.17740625037836327|2019:9:0.18046743367140888|2020:9:0.18046743367140888|2021:11:0.22057130782061088|2026:2:0.04118044037080722
A,SEOUL,,CULTURE_ART,GREEN,43,2026,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2025,2017,2025,50,4,1.3352989884760045,SAME_REGION_TYPE,142613998,314333861,228068328,41051596,160515959,449038697,0.9235709574849494,72.86866547818502,2017:1:0.019979382927863772|2018:43:0.8591134658981426|2019:5:0.09989691463931885|2025:1:0.021010236534674574
B,SEOUL,,CULTURE_ART,GREEN,43,2026,INCLUDE_PUBLISHED_SAME_YEAR,HISTORICAL_ONLY,2017,2025,2017,2025,50,4,1.3352989884760045,SAME_REGION_TYPE,142613998,314333861,228068328,41051596,160515959,449038697,0.9235709574849494,72.86866547818502,2017:1:0.019979382927863772|2018:43:0.8591134658981426|2019:5:0.09989691463931885|2025:1:0.021010236534674574
C,SEOUL,,CULTURE_ART,GREEN,43,2026,INCLUDE_PUBLISHED_SAME_YEAR,INCLUDE_PUBLISHED_SAME_YEAR,2017,2026,2017,2026,50,5,1.3489118368440574,SAME_REGION_TYPE,164357450,358542148,261777269,50000000,185751900,490563925,0.9245138014394775,73.4501415294682,2017:1:0.01994002835091455|2018:43:0.8574212190893262|2019:3:0.05982008505274366|2025:1:0.020968851424162875|2026:2:0.04184981608285276
D,SEOUL,,CULTURE_ART,GREEN,43,2027,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2026,2017,2026,50,5,1.3489118368440574,SAME_REGION_TYPE,164357450,358542148,261777269,50000000,185751900,490563925,0.9245138014394775,73.4501415294682,2017:1:0.01994002835091455|2018:43:0.8574212190893262|2019:3:0.05982008505274366|2025:1:0.020968851424162875|2026:2:0.04184981608285276
A,SEOUL,,COMMUNITY,GREEN,10,2026,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2025,2018,2023,50,6,3.1921064418416574,SAME_REGION_TYPE,36480708,107618928,49322680,10000000,22094482,120393677,0.9239678786442831,73.00704806944005,2018:25:0.4996856525998235|2019:8:0.16032692129618337|2020:1:0.020590973112331667|2021:7:0.1397359481838517|2022:3:0.05988683493593646|2023:6:0.11977366987187289
B,SEOUL,,COMMUNITY,GREEN,10,2026,INCLUDE_PUBLISHED_SAME_YEAR,HISTORICAL_ONLY,2017,2025,2018,2023,50,6,3.1921064418416574,SAME_REGION_TYPE,36480708,107618928,49322680,10000000,22094482,120393677,0.9239678786442831,73.00704806944005,2018:25:0.4996856525998235|2019:8:0.16032692129618337|2020:1:0.020590973112331667|2021:7:0.1397359481838517|2022:3:0.05988683493593646|2023:6:0.11977366987187289
C,SEOUL,,COMMUNITY,GREEN,10,2026,INCLUDE_PUBLISHED_SAME_YEAR,INCLUDE_PUBLISHED_SAME_YEAR,2017,2026,2018,2026,50,7,3.240369675633606,SAME_REGION_TYPE,38424195,112308120,49696346,11000000,22153666,120837557,0.9245354096889989,73.50744228487906,2018:25:0.49909599661578263|2019:8:0.1601377268935559|2020:1:0.02056667465499206|2021:7:0.13957105223856384|2022:3:0.05981616524509881|2023:5:0.09969360874183132|2026:1:0.021118775610174955
D,SEOUL,,COMMUNITY,GREEN,10,2027,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2026,2018,2026,50,7,3.240369675633606,SAME_REGION_TYPE,38424195,112308120,49696346,11000000,22153666,120837557,0.9245354096889989,73.50744228487906,2018:25:0.49909599661578263|2019:8:0.1601377268935559|2020:1:0.02056667465499206|2021:7:0.13957105223856384|2022:3:0.05981616524509881|2023:5:0.09969360874183132|2026:1:0.021118775610174955
A,SEOUL,,CULTURE_ART,GREEN,16,2026,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2025,2017,2025,50,6,1.4780050112492882,SAME_REGION_TYPE,147488755,310909483,227690576,45161054,160222939,495262821,0.9246412887245614,74.31585969435368,2017:3:0.0601486799763526|2018:41:0.81729199651904|2019:3:0.061230872010583005|2020:1:0.020107364420870938|2021:1:0.020107364420870938|2025:1:0.021113722652282386
B,SEOUL,,CULTURE_ART,GREEN,16,2026,INCLUDE_PUBLISHED_SAME_YEAR,HISTORICAL_ONLY,2017,2025,2017,2025,50,6,1.4780050112492882,SAME_REGION_TYPE,147488755,310909483,227690576,45161054,160222939,495262821,0.9246412887245614,74.31585969435368,2017:3:0.0601486799763526|2018:41:0.81729199651904|2019:3:0.061230872010583005|2020:1:0.020107364420870938|2021:1:0.020107364420870938|2025:1:0.021113722652282386
C,SEOUL,,CULTURE_ART,GREEN,16,2026,INCLUDE_PUBLISHED_SAME_YEAR,INCLUDE_PUBLISHED_SAME_YEAR,2017,2026,2017,2026,50,7,1.7963324589935612,SAME_REGION_TYPE,184347936,404401901,299300250,50000000,195711289,546206166,0.9257760350049921,74.97578814683413,2017:3:0.06000518637917383|2018:37:0.7357966422922186|2019:3:0.06108479668379868|2020:1:0.020059395320773155|2021:1:0.020059395320773155|2025:1:0.021063352735363146|2026:4:0.08193123126789924
D,SEOUL,,CULTURE_ART,GREEN,16,2027,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2026,2017,2026,50,7,1.7963324589935612,SAME_REGION_TYPE,184347936,404401901,299300250,50000000,195711289,546206166,0.9257760350049921,74.97578814683413,2017:3:0.06000518637917383|2018:37:0.7357966422922186|2019:3:0.06108479668379868|2020:1:0.020059395320773155|2021:1:0.020059395320773155|2025:1:0.021063352735363146|2026:4:0.08193123126789924
A,SEOUL,,CULTURE_ART,GREEN,3,2026,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2025,2017,2025,50,6,5.105068139764305,SAME_REGION_TYPE,208425188,375517340,413069135,69021382,250000000,498141092,0.9337886007958862,81.48109519983801,2017:10:0.20101475148542597|2018:14:0.27366372852449533|2019:8:0.16130430427120432|2020:7:0.1411412662373038|2021:9:0.18146734230510486|2025:2:0.041408607176465606
B,SEOUL,,CULTURE_ART,GREEN,3,2026,INCLUDE_PUBLISHED_SAME_YEAR,HISTORICAL_ONLY,2017,2025,2017,2025,50,6,5.105068139764305,SAME_REGION_TYPE,208425188,375517340,413069135,69021382,250000000,498141092,0.9337886007958862,81.48109519983801,2017:10:0.20101475148542597|2018:14:0.27366372852449533|2019:8:0.16130430427120432|2020:7:0.1411412662373038|2021:9:0.18146734230510486|2025:2:0.041408607176465606
C,SEOUL,,CULTURE_ART,GREEN,3,2026,INCLUDE_PUBLISHED_SAME_YEAR,INCLUDE_PUBLISHED_SAME_YEAR,2017,2026,2017,2026,50,7,6.301393505272722,SAME_REGION_TYPE,228031365,405891267,429163074,76500000,300000000,616006870,0.9368531760751022,82.1740817140131,2017:10:0.19970497592643885|2018:8:0.15536033453995746|2019:8:0.16025327476350593|2020:7:0.14022161541806769|2021:9:0.18028493410894417|2025:2:0.04113879622373379|2026:6:0.123036069019352
D,SEOUL,,CULTURE_ART,GREEN,3,2027,HISTORICAL_ONLY,HISTORICAL_ONLY,2017,2026,2017,2026,50,7,6.301393505272722,SAME_REGION_TYPE,228031365,405891267,429163074,76500000,300000000,616006870,0.9368531760751022,82.1740817140131,2017:10:0.19970497592643885|2018:8:0.15536033453995746|2019:8:0.16025327476350593|2020:7:0.14022161541806769|2021:9:0.18028493410894417|2025:2:0.04113879622373379|2026:6:0.123036069019352
